onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	33
32	8	1	n03063599_4177	1	23	0.0	33
40	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	0.0	33
48	8	2	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	49.621905111998785	33
56	8	1	n02802215_26105	1	16	0.0	33
64	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	33
72	8	1	n02799175_11275	1	15	0.0	33
80	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	0.0	33
88	8	1	n04297750_25624	1	36	0.0	33
96	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	33
104	8	1	n02882647_18337	1	20	0.0	33
112	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	51	0.0	33
120	8	1	n03425413_18382	1	25	0.0	33
128	8	2	n03425413_18382	1	25	128.770470819989	33
136	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	33
144	8	1	n03483823_8150	1	29	0.0	33
152	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	33
160	8	1	n01621127_19020	1	1	0.0	33
168	8	2	n01621127_19020	1	1	168.65374298999086	33
176	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	33
184	8	1	n04587559_13463	1	37	0.0	33
192	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	64	0.0	33
200	8	1	n01855672_15767	1	2	0.0	33
208	8	1	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	59	0.0	33
216	8	1	n03950228_27533	1	31	0.0	33
224	8	2	n03950228_27533	1	31	225.6518235289841	33
232	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	0.0	33
240	8	1	n02391049_2286	1	10	0.0	33
248	8	1	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	33
256	8	1	n03472535_4645	1	27	0.0	33
264	8	1	neonVarinImg003_Kanizsa_alpha_0p7_sat_0p3_bgray	2	73	0.0	33
272	8	1	n03335030_10544	1	24	0.0	33
280	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	33
288	8	1	n01944390_20670	1	5	0.0	33
296	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	33
304	8	1	n02766534_15976	1	13	0.0	33
312	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	53	0.0	33
320	8	1	n04252077_10859	1	35	0.0	33
328	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	0.0	33
336	8	1	n02974003_9408	1	22	0.0	33
344	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	33
352	8	1	n01943899_24131	1	4	0.0	33
360	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	52	0.0	33
368	6	-2	n/a	n/a	n/a	0.0	33
