onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	12	1
32	8	1	leather_moderate_013_new	4	313	0.0	12	1
40	8	1	paper_object_041_new	6	591	0.0	12	1
48	8	1	foliage_final_093_new	2	193	0.0	12	1
56	8	1	water_object_011_new	9	861	0.0	12	1
64	8	1	fabric_object_005_new	1	55	0.0	12	1
72	8	1	stone_object_021_new	8	771	0.0	12	1
80	8	1	water_moderate_045_new	9	845	0.0	12	1
88	8	1	glass_object_032_new	3	282	0.0	12	1
96	8	1	plastic_moderate_018_new	7	618	0.0	12	1
104	8	1	leather_object_025_new	4	375	0.0	12	1
112	8	1	glass_object_007_new	3	257	0.0	12	1
120	8	1	plastic_object_047_new	7	697	0.0	12	1
128	8	1	leather_moderate_036_new	4	336	0.0	12	1
136	8	2	leather_moderate_036_new	4	336	137.03668033500435	12	1
144	8	1	foliage_final_062_new	2	162	0.0	12	1
152	8	1	metal_object_007_new	5	457	0.0	12	1
160	8	1	wood_moderate_027_new	10	927	0.0	12	1
168	8	1	fabric_object_027_new	1	77	0.0	12	1
176	8	1	glass_object_044_new	3	294	0.0	12	1
184	8	1	paper_moderate_004_new	6	504	0.0	12	1
192	8	1	glass_moderate_009_new	3	209	0.0	12	1
200	8	1	stone_moderate_012_new	8	712	0.0	12	1
208	8	1	leather_moderate_035_new	4	335	0.0	12	1
216	8	2	leather_moderate_035_new	4	335	217.1158606709796	12	1
224	8	1	metal_moderate_011_new	5	411	0.0	12	1
232	8	2	metal_moderate_011_new	5	411	233.0407249109703	12	1
240	8	1	wood_object_036_new	10	986	0.0	12	1
248	8	1	glass_moderate_014_new	3	214	0.0	12	1
256	8	1	metal_moderate_009_new	5	409	0.0	12	1
264	8	1	plastic_moderate_023_new	7	623	0.0	12	1
272	8	1	stone_object_035_new	8	785	0.0	12	1
280	8	1	leather_object_045_new	4	395	0.0	12	1
288	8	2	leather_object_045_new	4	395	289.03820352297043	12	1
296	8	1	plastic_moderate_012_new	7	612	0.0	12	1
304	8	1	plastic_object_050_new	7	700	0.0	12	1
312	8	1	fabric_moderate_001_new	1	1	0.0	12	1
320	8	1	stone_object_007_new	8	757	0.0	12	1
328	8	2	stone_object_007_new	8	757	329.0424407729879	12	1
336	8	1	water_moderate_021_new	9	821	0.0	12	1
344	8	1	water_object_029_new	9	879	0.0	12	1
352	8	1	fabric_object_011_new	1	61	0.0	12	1
360	8	1	fabric_moderate_033_new	1	33	0.0	12	1
368	8	1	water_moderate_022_new	9	822	0.0	12	1
376	8	1	stone_moderate_017_new	8	717	0.0	12	1
384	8	1	foliage_final_080_new	2	180	0.0	12	1
392	8	1	paper_object_003_new	6	553	0.0	12	1
400	8	1	paper_object_034_new	6	584	0.0	12	1
408	8	1	metal_object_030_new	5	480	0.0	12	1
416	8	1	foliage_final_047_new	2	147	0.0	12	1
424	8	1	wood_moderate_033_new	10	933	0.0	12	1
432	8	1	wood_moderate_013_new	10	913	0.0	12	1
440	8	1	foliage_final_010_new	2	110	0.0	12	1
448	8	1	paper_moderate_022_new	6	522	0.0	12	1
456	8	1	metal_object_031_new	5	481	0.0	12	1
464	8	1	wood_moderate_002_new	10	902	0.0	12	1
472	6	-2	n/a	n/a	n/a	0.0	12	1
