onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	3	2
32	8	1	wood_moderate_026_new	10	926	0.0	3	2
40	8	1	paper_object_040_new	6	590	0.0	3	2
48	8	2	paper_object_040_new	6	590	49.03232031897642	3	2
56	8	1	plastic_object_034_new	7	684	0.0	3	2
64	8	1	leather_object_050_new	4	400	0.0	3	2
72	8	1	metal_moderate_040_new	5	440	0.0	3	2
80	8	1	glass_moderate_017_new	3	217	0.0	3	2
88	8	1	glass_object_015_new	3	265	0.0	3	2
96	8	2	glass_object_015_new	3	265	97.03302541899029	3	2
104	8	1	wood_moderate_025_new	10	925	0.0	3	2
112	8	1	stone_moderate_013_new	8	713	0.0	3	2
120	8	1	paper_object_043_new	6	593	0.0	3	2
128	8	1	leather_object_015_new	4	365	0.0	3	2
136	8	1	plastic_object_033_new	7	683	0.0	3	2
144	8	1	foliage_final_090_new	2	190	0.0	3	2
152	8	1	leather_object_042_new	4	392	0.0	3	2
160	8	1	metal_moderate_026_new	5	426	0.0	3	2
168	8	2	metal_moderate_026_new	5	426	169.044177897973	3	2
176	8	1	plastic_moderate_036_new	7	636	0.0	3	2
184	8	1	fabric_moderate_003_new	1	3	0.0	3	2
192	8	1	glass_moderate_025_new	3	225	0.0	3	2
200	8	1	stone_moderate_038_new	8	738	0.0	3	2
208	8	1	water_object_026_new	9	876	0.0	3	2
216	8	1	wood_moderate_034_new	10	934	0.0	3	2
224	8	1	foliage_final_027_new	2	127	0.0	3	2
232	8	1	fabric_object_043_new	1	93	0.0	3	2
240	8	1	stone_object_008_new	8	758	0.0	3	2
248	8	2	stone_object_008_new	8	758	249.03924100799486	3	2
256	8	1	stone_moderate_014_new	8	714	0.0	3	2
264	8	1	water_moderate_035_new	9	835	0.0	3	2
272	8	1	plastic_moderate_034_new	7	634	0.0	3	2
280	8	1	glass_moderate_023_new	3	223	0.0	3	2
288	8	1	leather_object_021_new	4	371	0.0	3	2
296	8	1	fabric_moderate_018_new	1	18	0.0	3	2
304	8	1	wood_moderate_035_new	10	935	0.0	3	2
312	8	1	water_object_034_new	9	884	0.0	3	2
320	8	1	metal_object_038_new	5	488	0.0	3	2
328	8	1	stone_object_044_new	8	794	0.0	3	2
336	8	1	metal_object_015_new	5	465	0.0	3	2
344	8	1	fabric_object_010_new	1	60	0.0	3	2
352	8	1	foliage_final_012_new	2	112	0.0	3	2
360	8	1	foliage_final_042_new	2	142	0.0	3	2
368	8	1	plastic_moderate_019_new	7	619	0.0	3	2
376	8	1	glass_object_009_new	3	259	0.0	3	2
384	8	1	foliage_final_092_new	2	192	0.0	3	2
392	8	1	paper_moderate_014_new	6	514	0.0	3	2
400	8	1	water_object_022_new	9	872	0.0	3	2
408	8	1	paper_moderate_003_new	6	503	0.0	3	2
416	8	1	water_moderate_026_new	9	826	0.0	3	2
424	8	1	metal_object_004_new	5	454	0.0	3	2
432	8	1	leather_moderate_014_new	4	314	0.0	3	2
440	8	1	fabric_object_006_new	1	56	0.0	3	2
448	8	1	paper_moderate_017_new	6	517	0.0	3	2
456	8	2	paper_moderate_017_new	6	517	457.0480170279625	3	2
464	8	1	wood_moderate_011_new	10	911	0.0	3	2
472	6	-2	n/a	n/a	n/a	0.0	3	2
