onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	9	2
32	8	1	COCO_val2014_000000084073	1	137	0.0	9	2
40	8	1	COCO_val2014_000000433151	1	743	0.0	9	2
48	8	1	COCO_val2014_000000173908	1	302	0.0	9	2
56	8	1	COCO_val2014_000000042888	1	76	0.0	9	2
64	8	1	COCO_val2014_000000002290	1	5	0.0	9	2
72	8	1	COCO_val2014_000000145369	1	251	0.0	9	2
80	8	2	COCO_val2014_000000145369	1	251	81.03581074095564	9	2
88	8	1	COCO_val2014_000000114055	1	200	0.0	9	2
96	8	1	COCO_val2014_000000270316	1	478	0.0	9	2
104	8	1	COCO_val2014_000000535080	1	899	0.0	9	2
112	8	1	COCO_val2014_000000106244	1	184	0.0	9	2
120	8	1	COCO_val2014_000000365103	1	635	0.0	9	2
128	8	1	COCO_val2014_000000299045	1	527	0.0	9	2
136	8	1	COCO_val2014_000000282878	1	499	0.0	9	2
144	8	2	COCO_val2014_000000282878	1	499	145.03324178198818	9	2
152	8	1	COCO_val2014_000000396432	1	681	0.0	9	2
160	8	1	COCO_val2014_000000224740	1	402	0.0	9	2
168	8	1	COCO_val2014_000000022085	1	38	0.0	9	2
176	8	1	COCO_val2014_000000213675	1	380	0.0	9	2
184	8	1	COCO_val2014_000000217440	1	385	0.0	9	2
192	8	1	COCO_val2014_000000407521	1	704	0.0	9	2
200	8	1	COCO_val2014_000000476841	1	813	0.0	9	2
208	8	1	COCO_val2014_000000269346	1	475	0.0	9	2
216	8	1	COCO_val2014_000000568584	1	968	0.0	9	2
224	8	2	COCO_val2014_000000568584	1	968	225.04158166295383	9	2
232	8	1	COCO_val2014_000000095474	1	165	0.0	9	2
240	8	1	COCO_val2014_000000347171	1	611	0.0	9	2
248	8	1	COCO_val2014_000000286342	1	502	0.0	9	2
256	8	1	COCO_val2014_000000373089	1	642	0.0	9	2
264	8	1	COCO_val2014_000000181860	1	316	0.0	9	2
272	8	1	COCO_val2014_000000528062	1	882	0.0	9	2
280	8	1	COCO_val2014_000000577796	1	992	0.0	9	2
288	8	1	COCO_val2014_000000163640	1	281	0.0	9	2
296	8	1	COCO_val2014_000000237487	1	421	0.0	9	2
304	8	1	COCO_val2014_000000497514	1	841	0.0	9	2
312	8	1	COCO_val2014_000000195645	1	345	0.0	9	2
320	8	1	COCO_val2014_000000277932	1	489	0.0	9	2
328	8	1	COCO_val2014_000000437893	1	752	0.0	9	2
336	8	1	COCO_val2014_000000300124	1	531	0.0	9	2
344	8	1	COCO_val2014_000000424960	1	733	0.0	9	2
352	8	1	COCO_val2014_000000038031	1	64	0.0	9	2
360	8	1	COCO_val2014_000000330954	1	582	0.0	9	2
368	8	1	COCO_val2014_000000312591	1	553	0.0	9	2
376	8	1	COCO_val2014_000000223468	1	401	0.0	9	2
384	8	1	COCO_val2014_000000049946	1	91	0.0	9	2
392	8	1	COCO_val2014_000000462327	1	784	0.0	9	2
400	8	2	COCO_val2014_000000462327	1	784	401.0353746849578	9	2
408	8	1	COCO_val2014_000000497297	1	840	0.0	9	2
416	8	1	COCO_val2014_000000257084	1	447	0.0	9	2
424	8	1	COCO_val2014_000000515660	1	862	0.0	9	2
432	8	1	COCO_val2014_000000233112	1	413	0.0	9	2
440	8	1	COCO_val2014_000000195002	1	344	0.0	9	2
448	8	2	COCO_val2014_000000195002	1	344	449.0352795329527	9	2
456	8	1	COCO_val2014_000000339426	1	597	0.0	9	2
464	8	1	COCO_val2014_000000417596	1	721	0.0	9	2
472	6	-2	n/a	n/a	n/a	0.0	9	2
