onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	20	1
32	8	1	water_object_021_new	9	871	0.0	20	1
40	8	1	plastic_object_019_new	7	669	0.0	20	1
48	8	1	glass_moderate_003_new	3	203	0.0	20	1
56	8	2	glass_moderate_003_new	3	203	57.101417717000004	20	1
64	8	1	wood_object_016_new	10	966	0.0	20	1
72	8	1	wood_object_007_new	10	957	0.0	20	1
80	8	1	glass_moderate_048_new	3	248	0.0	20	1
88	8	2	glass_moderate_048_new	3	248	89.07143465097761	20	1
96	8	1	fabric_moderate_041_new	1	41	0.0	20	1
104	8	1	wood_object_031_new	10	981	0.0	20	1
112	8	1	water_object_039_new	9	889	0.0	20	1
120	8	1	leather_moderate_003_new	4	303	0.0	20	1
128	8	1	leather_object_008_new	4	358	0.0	20	1
136	8	1	stone_object_023_new	8	773	0.0	20	1
144	8	1	paper_moderate_032_new	6	532	0.0	20	1
152	8	2	paper_moderate_032_new	6	532	153.0377395550022	20	1
160	8	1	foliage_final_038_new	2	138	0.0	20	1
168	8	1	foliage_final_059_new	2	159	0.0	20	1
176	8	1	leather_moderate_004_new	4	304	0.0	20	1
184	8	1	wood_moderate_006_new	10	906	0.0	20	1
192	8	1	paper_object_021_new	6	571	0.0	20	1
200	8	1	fabric_object_035_new	1	85	0.0	20	1
208	8	1	foliage_final_068_new	2	168	0.0	20	1
216	8	1	water_object_020_new	9	870	0.0	20	1
224	8	2	water_object_020_new	9	870	226.03233206801815	20	1
232	8	1	glass_moderate_013_new	3	213	0.0	20	1
240	8	1	fabric_moderate_046_new	1	46	0.0	20	1
248	8	1	plastic_object_037_new	7	687	0.0	20	1
256	8	1	glass_object_020_new	3	270	0.0	20	1
264	8	1	metal_moderate_023_new	5	423	0.0	20	1
272	8	1	stone_moderate_030_new	8	730	0.0	20	1
280	8	1	water_moderate_049_new	9	849	0.0	20	1
288	8	2	water_moderate_049_new	9	849	289.14426689600805	20	1
296	8	1	metal_object_023_new	5	473	0.0	20	1
304	8	1	plastic_moderate_009_new	7	609	0.0	20	1
312	8	1	leather_object_026_new	4	376	0.0	20	1
320	8	1	plastic_moderate_021_new	7	621	0.0	20	1
328	8	1	water_moderate_003_new	9	803	0.0	20	1
336	8	1	metal_moderate_003_new	5	403	0.0	20	1
344	8	1	metal_object_012_new	5	462	0.0	20	1
352	8	1	metal_object_026_new	5	476	0.0	20	1
360	8	1	stone_moderate_037_new	8	737	0.0	20	1
368	8	1	stone_object_011_new	8	761	0.0	20	1
376	8	1	glass_moderate_001_new	3	201	0.0	20	1
384	8	1	foliage_final_049_new	2	149	0.0	20	1
392	8	1	fabric_object_018_new	1	68	0.0	20	1
400	8	1	foliage_final_072_new	2	172	0.0	20	1
408	8	1	paper_moderate_030_new	6	530	0.0	20	1
416	8	1	fabric_object_015_new	1	65	0.0	20	1
424	8	1	leather_object_024_new	4	374	0.0	20	1
432	8	1	wood_object_009_new	10	959	0.0	20	1
440	8	1	paper_moderate_020_new	6	520	0.0	20	1
448	8	1	plastic_moderate_049_new	7	649	0.0	20	1
456	8	1	paper_object_020_new	6	570	0.0	20	1
464	8	1	stone_moderate_041_new	8	741	0.0	20	1
472	6	-2	n/a	n/a	n/a	0.0	20	1
