onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	12	2
32	8	1	n02808440_15163	42	330	0.0	12	2
40	8	1	n02843158_5377	45	355	0.0	12	2
48	8	1	n04398044_13032	124	986	0.0	12	2
56	8	1	n03743279_13788	88	699	0.0	12	2
64	8	1	n12596148_7468	145	1159	0.0	12	2
72	8	1	n02480855_16790	32	252	0.0	12	2
80	8	1	n02391049_6026	27	214	0.0	12	2
88	8	1	n04070727_21435	103	820	0.0	12	2
96	8	2	n04070727_21435	103	820	97.11197148000065	12	2
104	8	1	n03950228_16044	99	785	0.0	12	2
112	8	1	n03612010_16528	81	643	0.0	12	2
120	8	1	n04086273_22571	104	828	0.0	12	2
128	8	2	n04086273_22571	104	828	129.1939534810008	12	2
136	8	1	n02692877_19950	36	286	0.0	12	2
144	8	1	n03397947_6288	64	509	0.0	12	2
152	8	1	n01944390_19503	12	91	0.0	12	2
160	8	1	n04009552_7141	101	807	0.0	12	2
168	8	1	n02068974_4003	18	141	0.0	12	2
176	8	1	n03746005_4914	89	707	0.0	12	2
184	8	1	n04591713_7167	137	1096	0.0	12	2
192	8	1	n03886762_10969	96	761	0.0	12	2
200	8	1	n04273569_18096	118	942	0.0	12	2
208	8	2	n04273569_18096	118	942	209.12528329000088	12	2
216	8	1	n03512147_3723	74	588	0.0	12	2
224	8	1	n02226429_9440	22	176	0.0	12	2
232	8	1	n04409806_13419	127	1009	0.0	12	2
240	8	1	n04254680_2701	115	918	0.0	12	2
248	8	1	n01726692_18809	6	41	0.0	12	2
256	8	1	n02814860_35555	43	342	0.0	12	2
264	8	2	n02814860_35555	43	342	265.258226721	12	2
272	8	1	n03543603_4306	76	603	0.0	12	2
280	8	2	n03543603_4306	76	603	281.07459282200034	12	2
288	8	1	n01787835_10128	8	57	0.0	12	2
296	8	1	n07734017_18410	139	1107	0.0	12	2
304	8	1	n04320973_12980	121	962	0.0	12	2
312	8	1	n04272054_48893	117	933	0.0	12	2
320	8	1	n04180888_8500	111	888	0.0	12	2
328	8	1	n04612026_5059	138	1100	0.0	12	2
336	8	1	n02943871_8123	48	383	0.0	12	2
344	8	1	n04409515_5752	126	1006	0.0	12	2
352	8	1	n02885462_19412	47	373	0.0	12	2
360	8	1	n03649909_10010	85	673	0.0	12	2
368	8	1	n04419073_21368	129	1030	0.0	12	2
376	8	1	n03079230_13074	53	417	0.0	12	2
384	8	1	n04477387_2204	132	1050	0.0	12	2
392	8	1	n04225987_12703	113	897	0.0	12	2
400	8	1	n01518878_12028	1	2	0.0	12	2
408	8	1	n02090827_17605	20	156	0.0	12	2
416	8	1	n03544143_1497	77	611	0.0	12	2
424	8	1	n03209910_8951	57	456	0.0	12	2
432	8	1	n02503517_8447	34	271	0.0	12	2
440	8	1	n04373894_41541	122	973	0.0	12	2
448	8	1	n03602883_14315	78	620	0.0	12	2
456	8	1	n04442312_32591	130	1040	0.0	12	2
464	8	1	n03425413_21315	66	526	0.0	12	2
472	6	-2	n/a	n/a	n/a	0.0	12	2
