onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	13	1
32	8	1	n01772222_16161	9	72	0.0	13	1
40	8	1	n07758680_13497	146	1163	0.0	13	1
48	8	1	n02472293_46249	35	279	0.0	13	1
56	8	1	n03837869_8484	99	791	0.0	13	1
64	8	1	n03743279_7634	92	735	0.0	13	1
72	8	1	n02799175_15265	43	340	0.0	13	1
80	8	1	n02974003_4448	53	420	0.0	13	1
88	8	1	n02808440_48297	46	367	0.0	13	1
96	8	1	n03512147_489	78	622	0.0	13	1
104	8	1	n07734744_6691	144	1150	0.0	13	1
112	8	1	n04009552_7141	105	839	0.0	13	1
120	8	1	n04284002_14660	123	979	0.0	13	1
128	8	2	n04284002_14660	123	979	132.05317590800405	13	1
136	8	1	n03602883_10856	82	650	0.0	13	1
144	8	1	n04612026_7179	142	1134	0.0	13	1
152	8	1	n03445777_9793	72	576	0.0	13	1
160	8	1	n02226429_12778	25	194	0.0	13	1
168	8	1	n12596148_5651	149	1188	0.0	13	1
176	8	1	n04255586_626	120	959	0.0	13	1
184	8	1	n04412416_14153	132	1052	0.0	13	1
192	8	1	n03467796_2261	73	577	0.0	13	1
200	8	1	n04113406_13944	110	874	0.0	13	1
208	8	1	n02480855_13432	36	282	0.0	13	1
216	8	1	n02843158_9764	49	392	0.0	13	1
224	8	1	n03209910_5373	61	487	0.0	13	1
232	8	1	n03721384_22007	91	723	0.0	13	1
240	8	1	n04555897_18677	139	1106	0.0	13	1
248	8	1	n03472535_4373	74	590	0.0	13	1
256	8	1	n02885462_20113	51	406	0.0	13	1
264	8	2	n02885462_20113	51	406	265.04393120300665	13	1
272	8	1	n03483823_6872	75	597	0.0	13	1
280	8	1	n04373894_31776	126	1004	0.0	13	1
288	8	1	n04044716_8619	106	848	0.0	13	1
296	8	1	n03649909_16050	89	708	0.0	13	1
304	8	2	n03649909_16050	89	708	307.0475529930118	13	1
312	8	1	n04272054_38478	121	964	0.0	13	1
320	8	1	n04477387_1527	136	1081	0.0	13	1
328	8	2	n04477387_1527	136	1081	331.4937850710121	13	1
336	8	1	n02943871_4136	52	412	0.0	13	1
344	8	1	n02841315_16314	48	380	0.0	13	1
352	8	1	n12582231_39329	148	1183	0.0	13	1
360	8	1	n02882647_20819	50	397	0.0	13	1
368	8	1	n03425413_16822	70	554	0.0	13	1
376	8	1	n03359137_19465	66	522	0.0	13	1
384	8	1	n04376876_13235	127	1012	0.0	13	1
392	8	1	n02692877_19950	40	318	0.0	13	1
400	8	1	n04587559_6132	140	1119	0.0	13	1
408	8	1	n01963571_5610	16	127	0.0	13	1
416	8	1	n07734017_11666	143	1137	0.0	13	1
424	8	1	n02090827_10084	23	177	0.0	13	1
432	8	1	n03345487_15782	65	514	0.0	13	1
440	8	1	n03038480_199	55	434	0.0	13	1
448	8	1	n04180888_2422	115	915	0.0	13	1
456	8	1	n03790512_13675	95	755	0.0	13	1
464	8	2	n03790512_13675	95	755	465.213429816009	13	1
472	6	-2	n/a	n/a	n/a	0.0	13	1
