onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	22	1
32	8	1	n02974003_6740	53	421	0.0	22	1
40	8	1	n01664990_65	4	31	0.0	22	1
48	8	1	n04398044_13032	128	1018	0.0	22	1
56	8	1	n01877134_11538	14	109	0.0	22	1
64	8	1	n03079230_33060	57	454	0.0	22	1
72	8	2	n03079230_33060	57	454	73.04352307000954	22	1
80	8	1	n03512147_47076	78	621	0.0	22	1
88	8	1	n04482393_18295	137	1092	0.0	22	1
96	8	2	n04482393_18295	137	1092	100.05228341001202	22	1
104	8	1	n03665924_55985	90	719	0.0	22	1
112	8	1	n01639765_48759	2	15	0.0	22	1
120	8	1	n02503517_10053	38	297	0.0	22	1
128	8	1	n03496296_14333	77	613	0.0	22	1
136	8	1	n03467796_3445	73	578	0.0	22	1
144	8	1	n03646296_1689	88	698	0.0	22	1
152	8	1	n01944390_19988	15	116	0.0	22	1
160	8	1	n03436182_5137	71	566	0.0	22	1
168	8	2	n03436182_5137	71	566	169.04634211301163	22	1
176	8	1	n04009552_8947	105	840	0.0	22	1
184	8	1	n02841315_10982	48	377	0.0	22	1
192	8	1	n03793489_13628	97	771	0.0	22	1
200	8	1	n07756951_13102	145	1153	0.0	22	1
208	8	1	n01787835_10128	11	81	0.0	22	1
216	8	1	n11978233_28156	147	1174	0.0	22	1
224	8	1	n03394916_41444	67	535	0.0	22	1
232	8	1	n03602883_16220	82	654	0.0	22	1
240	8	1	n01855672_15809	13	103	0.0	22	1
248	8	1	n03445777_4123	72	571	0.0	22	1
256	8	1	n03483823_15156	75	593	0.0	22	1
264	8	1	n03609235_3801	84	668	0.0	22	1
272	8	1	n02814860_37788	47	375	0.0	22	1
280	8	2	n02814860_37788	47	375	281.044195666007	22	1
288	8	1	n01833805_12045	12	90	0.0	22	1
296	8	1	n03209910_22305	61	483	0.0	22	1
304	8	1	n04412416_8901	132	1056	0.0	22	1
312	8	1	n03359137_16646	66	521	0.0	22	1
320	8	1	n04587559_10400	140	1113	0.0	22	1
328	8	1	n02236241_3660	27	211	0.0	22	1
336	8	1	n03255030_3029	62	492	0.0	22	1
344	8	1	n04409806_4052	131	1044	0.0	22	1
352	8	2	n04409806_4052	131	1044	356.05297090100066	22	1
360	8	1	n07734017_12439	143	1138	0.0	22	1
368	8	1	n02317335_17604	28	219	0.0	22	1
376	8	1	n02843158_8492	49	391	0.0	22	1
384	8	1	n03544143_18625	81	644	0.0	22	1
392	8	1	n04146614_10473	112	890	0.0	22	1
400	8	1	n04313503_23211	124	991	0.0	22	1
408	8	1	n04197391_3999	116	925	0.0	22	1
416	8	1	n02226429_14311	25	196	0.0	22	1
424	8	1	n03607659_8199	83	663	0.0	22	1
432	8	1	n03950228_39297	103	824	0.0	22	1
440	8	1	n02799175_11275	43	337	0.0	22	1
448	8	1	n04497801_76	138	1102	0.0	22	1
456	8	1	n02005790_11821	18	139	0.0	22	1
464	8	1	n02766534_18271	41	325	0.0	22	1
472	6	-2	n/a	n/a	n/a	0.0	22	1
